piece;date;journal;compte;libelle;debit;credit;code_tva;tiers;reference
VE202500076;02/01/2025;VE;461411;TVA collectee 17%;;428,67;NA;C0010;FV202501-0076
VE202500226;02/01/2025;VE;401100;LESAGE - Vente de marchandises;4402,69;;NA;C0024;FV202501-0226
VE202500226;02/01/2025;VE;702000;Vente de marchandises;;3762,98;S17;C0024;FV202501-0226
VE202500226;02/01/2025;VE;461411;TVA collectee 17%;;639,71;NA;C0024;FV202501-0226
AC202500138;06/01/2025;AC;607100;Fournitures de bureau;306,11;;A17;F0005;FA202501-0138
AC202500138;06/01/2025;AC;421611;TVA deductible 17%;52,04;;NA;F0005;FA202501-0138
AC202500138;06/01/2025;AC;441100;ROY BOUVIER SARL - Fournitures de bureau;;358,15;NA;F0005;FA202501-0138
AC202500218;06/01/2025;AC;606000;Acquisition intracommunautaire;2390,01;;AIC;F0015;FA202501-0218
AC202500218;06/01/2025;AC;421611;TVA deductible sur acquisition intracommunautaire;406,30;;NA;F0015;FA202501-0218
AC202500218;06/01/2025;AC;461411;TVA due sur acquisition intracommunautaire;;406,30;NA;F0015;FA202501-0218
AC202500218;06/01/2025;AC;441100;LEGRAND BOURDON ET FILS - Acquisition intracommunautaire;;2390,01;NA;F0015;FA202501-0218
VE202500117;06/01/2025;VE;401100;ADAM VERDIER ET FILS - Vente de biens - taux super-reduit;8485,93;;NA;C0016;FV202501-0117
VE202500117;06/01/2025;VE;702000;Vente de biens - taux super-reduit;;8238,77;S3;C0016;FV202501-0117
VE202500117;06/01/2025;VE;461414;TVA collectee 3%;;247,16;NA;C0016;FV202501-0117
VE202500191;06/01/2025;VE;401100;BOUVET - Vente de marchandises - taux reduit;6413,54;;NA;C0018;FV202501-0191
VE202500191;06/01/2025;VE;702000;Vente de marchandises - taux reduit;;5938,46;S8;C0018;FV202501-0191
VE202500191;06/01/2025;VE;461413;TVA collectee 8%;;475,08;NA;C0018;FV202501-0191
AC202500033;07/01/2025;AC;606000;Achat de marchandises;6588,54;;A17;F0002;FA202501-0033
AC202500033;07/01/2025;AC;421611;TVA deductible 17%;1120,05;;NA;F0002;FA202501-0033
AC202500033;07/01/2025;AC;441100;ALVES - Achat de marchandises;;7708,59;NA;F0002;FA202501-0033
VE202500225;07/01/2025;VE;401100;FAIVRE LELEU ET FILS - Prestation intracommunautaire;1393,15;;NA;C0003;FV202501-0225
VE202500225;07/01/2025;VE;704000;Prestation intracommunautaire;;1393,15;SIC;C0003;FV202501-0225
AC202500127;08/01/2025;AC;606000;Achat de marchandises;9844,48;;A17;F0010;FA202501-0127
AC202500127;08/01/2025;AC;421611;TVA deductible 17%;1673,56;;NA;F0010;FA202501-0127
AC202500127;08/01/2025;AC;441100;JACQUES S.A. - Achat de marchandises;;11518,04;NA;F0010;FA202501-0127
AC202500215;08/01/2025;AC;601000;Achat de matieres premieres;3588,21;;A17;F0018;FA202501-0215
AC202500215;08/01/2025;AC;421611;TVA deductible 17%;610,00;;NA;F0018;FA202501-0215
AC202500215;08/01/2025;AC;441100;FOUCHER - Achat de matieres premieres;;4198,21;NA;F0018;FA202501-0215
AC202500090;09/01/2025;AC;606000;Achat de marchandises;2051,64;;A17;F0007;FA202501-0090
AC202500090;09/01/2025;AC;421611;TVA deductible 17%;348,78;;NA;F0007;FA202501-0090
AC202500090;09/01/2025;AC;441100;BOUTIN SARL - Achat de marchandises;;2400,42;NA;F0007;FA202501-0090
VE202500078;09/01/2025;VE;401100;CORDIER - Vente de marchandises;2087,07;;NA;C0012;FV202501-0078
VE202500078;09/01/2025;VE;702000;Vente de marchandises;;1783,82;S17;C0012;FV202501-0078
VE202500078;09/01/2025;VE;461411;TVA collectee 17%;;303,25;NA;C0012;FV202501-0078
AC202500069;10/01/2025;AC;611500;Charges locatives;322,65;;A17;F0011;FA202501-0069
AC202500069;10/01/2025;AC;421611;TVA deductible 17%;54,85;;NA;F0011;FA202501-0069
AC202500069;10/01/2025;AC;441100;GUIBERT S.A. - Charges locatives;;377,50;NA;F0011;FA202501-0069
VE202500162;13/01/2025;VE;401100;DOS SANTOS BESNARD SA - Vente de biens - taux super-reduit;4095,94;;NA;C0026;FV202501-0162
VE202500162;13/01/2025;VE;702000;Vente de biens - taux super-reduit;;3976,64;S3;C0026;FV202501-0162
VE202500162;13/01/2025;VE;461414;TVA collectee 3%;;119,30;NA;C0026;FV202501-0162
VE202500132;14/01/2025;VE;401100;CORDIER - Prestation de services;4352,53;;NA;C0012;FV202501-0132
VE202500132;14/01/2025;VE;704000;Prestation de services;;3720,11;S17;C0012;FV202501-0132
VE202500132;14/01/2025;VE;461411;TVA collectee 17%;;632,42;NA;C0012;FV202501-0132
VE202500266;14/01/2025;VE;401100;FAIVRE LELEU ET FILS - Prestation de services;2002,48;;NA;C0003;FV202501-0266
VE202500266;14/01/2025;VE;704000;Prestation de services;;1711,52;S17;C0003;FV202501-0266
VE202500266;14/01/2025;VE;461411;TVA collectee 17%;;290,96;NA;C0003;FV202501-0266
VE202500270;14/01/2025;VE;401100;JACQUET SARL - Vente de marchandises;2996,99;;NA;C0009;FV202501-0270
VE202500270;14/01/2025;VE;702000;Vente de marchandises;;2561,53;S17;C0009;FV202501-0270
VE202500270;14/01/2025;VE;461411;TVA collectee 17%;;435,46;NA;C0009;FV202501-0270
AC202500005;16/01/2025;AC;601000;Achat de matieres premieres;803,53;;A17;F0001;FA202501-0005
AC202500005;16/01/2025;AC;421611;TVA deductible 17%;136,60;;NA;F0001;FA202501-0005
AC202500005;16/01/2025;AC;441100;MARQUES - Achat de matieres premieres;;940,13;NA;F0001;FA202501-0005
AC202500020;16/01/2025;AC;606000;Achat de marchandises;2808,87;;A17;F0015;FA202501-0020
AC202500020;16/01/2025;AC;421611;TVA deductible 17%;477,51;;NA;F0015;FA202501-0020
AC202500020;16/01/2025;AC;441100;LEGRAND BOURDON ET FILS - Achat de marchandises;;3286,38;NA;F0015;FA202501-0020
VE202500026;16/01/2025;VE;401100;BRUNEAU S.A.S. - Prestation de services;4854,42;;NA;C0022;FV202501-0026
VE202500026;16/01/2025;VE;704000;Prestation de services;;4149,08;S17;C0022;FV202501-0026
VE202500026;16/01/2025;VE;461411;TVA collectee 17%;;705,34;NA;C0022;FV202501-0026
VE202500204;16/01/2025;VE;401100;AUGER - Exportation hors UE;488,47;;NA;C0013;FV202501-0204
VE202500204;16/01/2025;VE;702000;Exportation hors UE;;488,47;SEX;C0013;FV202501-0204
VE202500009;17/01/2025;VE;401100;FAIVRE LELEU ET FILS - Prestation de services;17240,75;;NA;C0003;FV202501-0009
VE202500009;17/01/2025;VE;704000;Prestation de services;;14735,68;S17;C0003;FV202501-0009
VE202500009;17/01/2025;VE;461411;TVA collectee 17%;;2505,07;NA;C0003;FV202501-0009
VE202500039;17/01/2025;VE;401100;PARENT - Vente de biens - taux super-reduit;368,17;;NA;C0028;FV202501-0039
VE202500039;17/01/2025;VE;702000;Vente de biens - taux super-reduit;;357,45;S3;C0028;FV202501-0039
VE202500039;17/01/2025;VE;461414;TVA collectee 3%;;10,72;NA;C0028;FV202501-0039
VE202500112;17/01/2025;VE;401100;ROUSSEL - Prestation de services;4791,30;;NA;C0001;FV202501-0112
VE202500112;17/01/2025;VE;704000;Prestation de services;;4095,13;S17;C0001;FV202501-0112
VE202500112;17/01/2025;VE;461411;TVA collectee 17%;;696,17;NA;C0001;FV202501-0112
VE202500220;17/01/2025;VE;401100;LOUIS PAYET S.A. - Prestation de services;19410,70;;NA;C0019;FV202501-0220
VE202500220;17/01/2025;VE;704000;Prestation de services;;16590,34;S17;C0019;FV202501-0220
VE202500220;17/01/2025;VE;461411;TVA collectee 17%;;2820,36;NA;C0019;FV202501-0220
BQ202500165;19/01/2025;BQ;511100;Encaissement FV202501-0191;6413,54;;NA;C0018;FV202501-0191
BQ202500165;19/01/2025;BQ;401100;BOUVET - reglement;;6413,54;NA;C0018;FV202501-0191
BQ202500191;19/01/2025;BQ;511100;Encaissement FV202501-0226;4402,69;;NA;C0024;FV202501-0226
BQ202500191;19/01/2025;BQ;401100;LESAGE - reglement;;4402,69;NA;C0024;FV202501-0226
AC202500057;22/01/2025;AC;607100;Fournitures de bureau;185,61;;A17;F0006;FA202501-0057
AC202500057;22/01/2025;AC;421611;TVA deductible 17%;31,55;;NA;F0006;FA202501-0057
AC202500057;22/01/2025;AC;441100;GILLES CLERC SARL - Fournitures de bureau;;217,16;NA;F0006;FA202501-0057
VE202500082;23/01/2025;VE;401100;BOUVET - Vente de marchandises - taux reduit;3481,08;;NA;C0018;FV202501-0082
VE202500082;23/01/2025;VE;702000;Vente de marchandises - taux reduit;;3223,22;S8;C0018;FV202501-0082
VE202500082;23/01/2025;VE;461413;TVA collectee 8%;;257,86;NA;C0018;FV202501-0082
AC202500042;24/01/2025;AC;606000;Achat de marchandises;7820,21;;A17;F0001;FA202501-0042
AC202500042;24/01/2025;AC;421611;TVA deductible 17%;1329,44;;NA;F0001;FA202501-0042
AC202500042;24/01/2025;AC;441100;MARQUES - Achat de marchandises;;9149,65;NA;F0001;FA202501-0042
VE202500094;24/01/2025;VE;401100;LECLERCQ S.A.S. - Prestation de services;1998,55;;NA;C0020;FV202501-0094
VE202500094;24/01/2025;VE;704000;Prestation de services;;1708,16;S17;C0020;FV202501-0094
VE202500094;24/01/2025;VE;461411;TVA collectee 17%;;290,39;NA;C0020;FV202501-0094
VE202500233;24/01/2025;VE;401100;LESAGE - Prestation de services;9669,36;;NA;C0024;FV202501-0233
VE202500233;24/01/2025;VE;704000;Prestation de services;;8264,41;S17;C0024;FV202501-0233
VE202500233;24/01/2025;VE;461411;TVA collectee 17%;;1404,95;NA;C0024;FV202501-0233
VE202500246;24/01/2025;VE;401100;DOS SANTOS BESNARD SA - Prestation de services;528,43;;NA;C0026;FV202501-0246
VE202500246;24/01/2025;VE;704000;Prestation de services;;451,65;S17;C0026;FV202501-0246
VE202500246;24/01/2025;VE;461411;TVA collectee 17%;;76,78;NA;C0026;FV202501-0246
OD202500001;25/01/2025;OD;621000;Salaires bruts 01/2025;21765,54;;NA;;PAIE-01
OD202500001;25/01/2025;OD;622000;Charges patronales 01/2025;2829,52;;NA;;PAIE-01
OD202500001;25/01/2025;OD;462000;Cotisations CCSS;;5550,21;NA;;PAIE-01
OD202500001;25/01/2025;OD;471000;Net a payer;;19044,85;NA;;PAIE-01
AC202500025;27/01/2025;AC;616100;Transport sur achats;1259,27;;A17;F0001;FA202501-0025
AC202500025;27/01/2025;AC;421611;TVA deductible 17%;214,08;;NA;F0001;FA202501-0025
AC202500025;27/01/2025;AC;441100;MARQUES - Transport sur achats;;1473,35;NA;F0001;FA202501-0025
AC202500166;27/01/2025;AC;606000;Achat de marchandises;13383,75;;A17;F0003;FA202501-0166
AC202500166;27/01/2025;AC;421611;TVA deductible 17%;2275,24;;NA;F0003;FA202501-0166
AC202500166;27/01/2025;AC;441100;THIBAULT BOUCHET SARL - Achat de marchandises;;15658,99;NA;F0003;FA202501-0166
BQ202500115;27/01/2025;BQ;511100;Encaissement FV202501-0132;4352,53;;NA;C0012;FV202501-0132
BQ202500115;27/01/2025;BQ;401100;CORDIER - reglement;;4352,53;NA;C0012;FV202501-0132
BQ202500325;27/01/2025;BQ;441100;BOUTIN SARL - reglement;2400,42;;NA;F0007;FA202501-0090
BQ202500325;27/01/2025;BQ;511100;Paiement FA202501-0090;;2400,42;NA;F0007;FA202501-0090
VE202500219;27/01/2025;VE;401100;JOLY S.A.R.L. - Prestation de services;4816,53;;NA;C0002;FV202501-0219
VE202500219;27/01/2025;VE;704000;Prestation de services;;4116,69;S17;C0002;FV202501-0219
VE202500219;27/01/2025;VE;461411;TVA collectee 17%;;699,84;NA;C0002;FV202501-0219
VE202500242;27/01/2025;VE;401100;AUGER - Vente de marchandises;4446,55;;NA;C0013;FV202501-0242
VE202500242;27/01/2025;VE;702000;Vente de marchandises;;3800,47;S17;C0013;FV202501-0242
VE202500242;27/01/2025;VE;461411;TVA collectee 17%;;646,08;NA;C0013;FV202501-0242
BQ202500444;28/01/2025;BQ;618000;Frais de tenue de compte;59,41;;NA;;BQ-FRAIS-01
BQ202500444;28/01/2025;BQ;511100;Frais bancaires;;59,41;NA;;BQ-FRAIS-01
BQ202500445;28/01/2025;BQ;192100;Remboursement emprunt - capital;1600,00;;NA;;EMP-01
BQ202500445;28/01/2025;BQ;655000;Interets de l'emprunt;248,00;;NA;;EMP-01
BQ202500445;28/01/2025;BQ;511100;Echeance emprunt;;1848,00;NA;;EMP-01
BQ202500468;28/01/2025;BQ;471000;Virement des salaires;19044,85;;NA;;PAIE-01
BQ202500468;28/01/2025;BQ;511100;Virement des salaires;;19044,85;NA;;PAIE-01
BQ202500469;28/01/2025;BQ;462000;Paiement CCSS;5550,21;;NA;;CCSS-01
BQ202500469;28/01/2025;BQ;511100;Paiement CCSS;;5550,21;NA;;CCSS-01
AC202500140;29/01/2025;AC;601000;Achat de matieres premieres;2232,50;;A17;F0014;FA202501-0140
AC202500140;29/01/2025;AC;421611;TVA deductible 17%;379,53;;NA;F0014;FA202501-0140
AC202500140;29/01/2025;AC;441100;BOUSQUET - Achat de matieres premieres;;2612,03;NA;F0014;FA202501-0140
AC202500187;29/01/2025;AC;607100;Fournitures de bureau;331,02;;A17;F0013;FA202501-0187
AC202500187;29/01/2025;AC;421611;TVA deductible 17%;56,27;;NA;F0013;FA202501-0187
AC202500187;29/01/2025;AC;441100;FERRAND - Fournitures de bureau;;387,29;NA;F0013;FA202501-0187
BQ202500173;29/01/2025;BQ;511100;Encaissement FV202501-0204;488,47;;NA;C0013;FV202501-0204
BQ202500173;29/01/2025;BQ;401100;AUGER - reglement;;488,47;NA;C0013;FV202501-0204
VE202500161;29/01/2025;VE;401100;AUGER - Prestation de services;4640,56;;NA;C0013;FV202501-0161
VE202500161;29/01/2025;VE;704000;Prestation de services;;3966,29;S17;C0013;FV202501-0161
VE202500161;29/01/2025;VE;461411;TVA collectee 17%;;674,27;NA;C0013;FV202501-0161
VE202500169;29/01/2025;VE;401100;ROUSSEL - Vente de marchandises - taux reduit;2169,22;;NA;C0001;FV202501-0169
VE202500169;29/01/2025;VE;702000;Vente de marchandises - taux reduit;;2008,54;S8;C0001;FV202501-0169
VE202500169;29/01/2025;VE;461413;TVA collectee 8%;;160,68;NA;C0001;FV202501-0169
VE202500123;30/01/2025;VE;401100;BOUVET - Prestation intracommunautaire;1699,21;;NA;C0018;FV202501-0123
VE202500123;30/01/2025;VE;704000;Prestation intracommunautaire;;1699,21;SIC;C0018;FV202501-0123
BQ202500066;31/01/2025;BQ;511100;Encaissement FV202501-0076;2950,26;;NA;C0010;FV202501-0076
BQ202500066;31/01/2025;BQ;401100;HENRY - reglement;;2950,26;NA;C0010;FV202501-0076
OD202500019;31/01/2025;OD;461411;Solde TVA collectee 01/2025;16827,61;;NA;;TVA-01
OD202500019;31/01/2025;OD;461414;Solde TVA collectee 01/2025;377,18;;NA;;TVA-01
OD202500019;31/01/2025;OD;461413;Solde TVA collectee 01/2025;893,62;;NA;;TVA-01
OD202500019;31/01/2025;OD;421611;Solde TVA deductible 01/2025;;9255,10;NA;;TVA-01
OD202500019;31/01/2025;OD;421613;Solde TVA deductible 01/2025;;186,40;NA;;TVA-01
OD202500019;31/01/2025;OD;461500;TVA due 01/2025;;8656,91;NA;;TVA-01
AC202500110;03/02/2025;AC;615000;Campagne de publicite;1808,48;;A17;F0015;FA202502-0110
AC202500110;03/02/2025;AC;421611;TVA deductible 17%;307,44;;NA;F0015;FA202502-0110
AC202500110;03/02/2025;AC;441100;LEGRAND BOURDON ET FILS - Campagne de publicite;;2115,92;NA;F0015;FA202502-0110
AC202500118;03/02/2025;AC;611000;Loyer du mois;3200,00;;A0;F0013;FA202502-0118
AC202500118;03/02/2025;AC;441100;FERRAND - Loyer du mois;;3200,00;NA;F0013;FA202502-0118
AC202500144;03/02/2025;AC;606000;Achat de marchandises - taux reduit;1576,04;;A8;F0016;FA202502-0144
AC202500144;03/02/2025;AC;421613;TVA deductible 8%;126,08;;NA;F0016;FA202502-0144
AC202500144;03/02/2025;AC;441100;LAPORTE MULLER SA - Achat de marchandises - taux reduit;;1702,12;NA;F0016;FA202502-0144
AC202500234;04/02/2025;AC;606000;Achat de marchandises;10580,72;;A17;F0010;FA202502-0234
AC202500234;04/02/2025;AC;421611;TVA deductible 17%;1798,72;;NA;F0010;FA202502-0234
AC202500234;04/02/2025;AC;441100;JACQUES S.A. - Achat de marchandises;;12379,44;NA;F0010;FA202502-0234
BQ202500099;04/02/2025;BQ;511100;Encaissement FV202501-0112;4791,30;;NA;C0001;FV202501-0112
BQ202500099;04/02/2025;BQ;401100;ROUSSEL - reglement;;4791,30;NA;C0001;FV202501-0112
BQ202500307;04/02/2025;BQ;441100;GUIBERT S.A. - reglement;377,50;;NA;F0011;FA202501-0069
BQ202500307;04/02/2025;BQ;511100;Paiement FA202501-0069;;377,50;NA;F0011;FA202501-0069
AC202500029;05/02/2025;AC;606000;Achat de marchandises;10007,65;;A17;F0021;FA202502-0029
AC202500029;05/02/2025;AC;421611;TVA deductible 17%;1701,30;;NA;F0021;FA202502-0029
AC202500029;05/02/2025;AC;441100;FOURNIER - Achat de marchandises;;11708,95;NA;F0021;FA202502-0029
AC202500050;05/02/2025;AC;606000;Achat de marchandises - taux reduit;1540,49;;A8;F0015;FA202502-0050
AC202500050;05/02/2025;AC;421613;TVA deductible 8%;123,24;;NA;F0015;FA202502-0050
AC202500050;05/02/2025;AC;441100;LEGRAND BOURDON ET FILS - Achat de marchandises - taux reduit;;1663,73;NA;F0015;FA202502-0050
BQ202500420;05/02/2025;BQ;441100;LEGRAND BOURDON ET FILS - reglement;2390,01;;NA;F0015;FA202501-0218
BQ202500420;05/02/2025;BQ;511100;Paiement FA202501-0218;;2390,01;NA;F0015;FA202501-0218
VE202500002;05/02/2025;VE;401100;ROUSSEL - Prestation de services;2709,11;;NA;C0001;FV202502-0002
VE202500002;05/02/2025;VE;704000;Prestation de services;;2315,48;S17;C0001;FV202502-0002
VE202500002;05/02/2025;VE;461411;TVA collectee 17%;;324,17;NA;C0001;FV202502-0002
AC202500038;06/02/2025;AC;606000;Achat de marchandises;13482,11;;A17;F0010;FA202502-0038
AC202500038;06/02/2025;AC;421611;TVA deductible 17%;2291,96;;NA;F0010;FA202502-0038
AC202500038;06/02/2025;AC;441100;JACQUES S.A. - Achat de marchandises;;15774,07;NA;F0010;FA202502-0038
BQ202500417;07/02/2025;BQ;441100;FOUCHER - reglement;4198,21;;NA;F0018;FA202501-0215
BQ202500417;07/02/2025;BQ;511100;Paiement FA202501-0215;;4198,21;NA;F0018;FA202501-0215
AC202500197;10/02/2025;AC;617000;Telecommunications;428,03;;A17;F0021;FA202502-0197
AC202500197;10/02/2025;AC;421611;TVA deductible 17%;72,77;;NA;F0021;FA202502-0197
AC202500197;10/02/2025;AC;441100;FOURNIER - Telecommunications;;500,80;NA;F0021;FA202502-0197
BQ202500362;10/02/2025;BQ;441100;ROY BOUVIER SARL - reglement;358,15;;NA;F0005;FA202501-0138
BQ202500362;10/02/2025;BQ;511100;Paiement FA202501-0138;;358,15;NA;F0005;FA202501-0138
VE202500255;10/02/2025;VE;401100;COLLET - Vente de produits finis;3460,68;;NA;C0023;FV202502-0255
VE202500255;10/02/2025;VE;705000;Vente de produits finis;;2957,85;S17;C0023;FV202502-0255
VE202500255;10/02/2025;VE;461411;TVA collectee 17%;;502,83;NA;C0023;FV202502-0255
AC202500096;11/02/2025;AC;617000;Telecommunications;998,63;;A17;F0001;FA202502-0096
AC202500096;11/02/2025;AC;421611;TVA deductible 17%;169,77;;NA;F0001;FA202502-0096
AC202500096;11/02/2025;AC;441100;MARQUES - Telecommunications;;1168,40;NA;F0001;FA202502-0096
AC202500134;11/02/2025;AC;606000;Achat de marchandises;8658,35;;A17;F0020;FA202502-0134
AC202500134;11/02/2025;AC;421611;TVA deductible 17%;1471,92;;NA;F0020;FA202502-0134
AC202500134;11/02/2025;AC;441100;GRONDIN - Achat de marchandises;;10130,27;NA;F0020;FA202502-0134
VE202500018;11/02/2025;VE;401100;CORDIER - Vente de produits finis;1394,79;;NA;C0012;FV202502-0018
VE202500018;11/02/2025;VE;705000;Vente de produits finis;;1192,13;S17;C0012;FV202502-0018
VE202500018;11/02/2025;VE;461411;TVA collectee 17%;;202,66;NA;C0012;FV202502-0018
VE202500091;11/02/2025;VE;401100;LECLERCQ S.A.S. - Prestation de services;566,37;;NA;C0020;FV202502-0091
VE202500091;11/02/2025;VE;704000;Prestation de services;;484,08;S17;C0020;FV202502-0091
VE202500091;11/02/2025;VE;461411;TVA collectee 17%;;82,29;NA;C0020;FV202502-0091
AC202500017;12/02/2025;AC;606000;Achat de marchandises;8459,40;;A17;F0007;FA202502-0017
AC202500017;12/02/2025;AC;421611;TVA deductible 17%;1438,10;;NA;F0007;FA202502-0017
AC202500017;12/02/2025;AC;441100;BOUTIN SARL - Achat de marchandises;;9897,50;NA;F0007;FA202502-0017
BQ202500190;12/02/2025;BQ;511100;Encaissement FV202501-0225;1393,15;;NA;C0003;FV202501-0225
BQ202500190;12/02/2025;BQ;401100;FAIVRE LELEU ET FILS - reglement;;1393,15;NA;C0003;FV202501-0225
VE202500047;12/02/2025;VE;401100;ROUSSEL - Prestation de services;638,90;;NA;C0001;FV202502-0047
VE202500047;12/02/2025;VE;704000;Prestation de services;;546,07;S17;C0001;FV202502-0047
VE202500047;12/02/2025;VE;461411;TVA collectee 17%;;92,83;NA;C0001;FV202502-0047
VE202500055;12/02/2025;VE;401100;FAIVRE LELEU ET FILS - Vente de marchandises;2314,12;;NA;C0003;FV202502-0055
VE202500055;12/02/2025;VE;702000;Vente de marchandises;;1977,88;S17;C0003;FV202502-0055
VE202500055;12/02/2025;VE;461411;TVA collectee 17%;;336,24;NA;C0003;FV202502-0055
VE202500291;13/02/2025;VE;401100;JACQUET SARL - Prestation de services;3101,97;;NA;C0009;FV202502-0291
VE202500291;13/02/2025;VE;704000;Prestation de services;;2651,26;S17;C0009;FV202502-0291
VE202500291;13/02/2025;VE;461411;TVA collectee 17%;;450,71;NA;C0009;FV202502-0291
VE202500048;14/02/2025;VE;401100;FONTAINE LE ROUX SARL - Prestation de services;17897,63;;NA;C0006;FV202502-0048
VE202500048;14/02/2025;VE;704000;Prestation de services;;15297,12;S17;C0006;FV202502-0048
VE202500048;14/02/2025;VE;461411;TVA collectee 17%;;2600,51;NA;C0006;FV202502-0048
BQ202500147;15/02/2025;BQ;511100;Encaissement FV202501-0169;2169,22;;NA;C0001;FV202501-0169
BQ202500147;15/02/2025;BQ;401100;ROUSSEL - reglement;;2169,22;NA;C0001;FV202501-0169
BQ202500346;15/02/2025;BQ;441100;FERRAND - reglement;3200,00;;NA;F0013;FA202502-0118
BQ202500346;15/02/2025;BQ;511100;Paiement FA202502-0118;;3200,00;NA;F0013;FA202502-0118
BQ202500300;16/02/2025;BQ;441100;LAPORTE MULLER SA - reglement;614,59;;NA;F0016;FA202501-0062
BQ202500300;16/02/2025;BQ;511100;Paiement FA202501-0062;;614,59;NA;F0016;FA202501-0062
AC202500028;17/02/2025;AC;606000;Achat de marchandises;13805,47;;A17;F0013;FA202502-0028
AC202500028;17/02/2025;AC;421611;TVA deductible 17%;2346,93;;NA;F0013;FA202502-0028
AC202500028;17/02/2025;AC;441100;FERRAND - Achat de marchandises;;16152,40;NA;F0013;FA202502-0028
AC202500190;17/02/2025;AC;614;Campagne de publicite;4270,84;;A17;F0018;FA202502-0190
AC202500190;17/02/2025;AC;421611;TVA deductible 17%;726,04;;NA;F0018;FA202502-0190
